study_key,appraisal_basis,instrument,rob_patient_selection,rob_patient_selection_evidence,rob_patient_selection_rationale,rob_index_test,rob_index_test_evidence,rob_index_test_rationale,rob_reference_standard,rob_reference_standard_evidence,rob_reference_standard_rationale,rob_flow_timing,rob_flow_timing_evidence,rob_flow_timing_rationale,app_patient_selection,app_patient_selection_evidence,app_patient_selection_rationale,app_index_test,app_index_test_evidence,app_index_test_rationale,app_reference_standard,app_reference_standard_evidence,app_reference_standard_rationale,n_readers,n_subjects,repro_code_available,repro_public_dataset,repro_reference_standard,repro_sampling,repro_centres,repro_ethics_stated,fulltext_bytes_read,repro_code_evidence,repro_dataset_evidence,repro_benchmark,repro_sampling_evidence,repro_ethics_evidence,field_strength,pulse_sequences,appraiser,appraisal_date,provenance_note,supersedes_basis,title,doi,year
S004,full text,QUADAS-2,High,To simulate distracting anatomy we used regions of slices from high-SNR MR head images of healthy volunteer.,"There is no patient sample at all: the evaluated images are synthetic, built on anatomical backgrounds cropped from scans of an unspecified number of healthy volunteers with no stated enrolment or sampling rule.",Low,"Participants were instructed that in every display, one of the exterior images would contain the target feature and that they should use the mouse to click on whichever exterior image they felt most probably contained the target.","Observers judged each reconstruction in a forced-choice task without any knowledge of which image actually contained the target, so index-test interpretation was fully blind to the truth.",Low,Our target feature was an antialiased circular object located in the center of the feature-present image (see Fig. 3).,"Truth was established by construction (the target was inserted by the investigators), so the reference cannot be misclassified and is entirely independent of the reconstruction being tested.",Low,"After the training and delay, the participants then proceeded through 16 experiment sets composed equally of the 18 possible combinations for a total of 288 image pairs.","Every observer saw a balanced set of all experimental conditions with the same known truth and there is no interval between index test and reference, since both derive from the same simulated image.",High,"By producing synthetic images with both of these components, we propose that target feature detection in our synthetic images will have approximately the same results as similar tasks in clinical MR images when using the reconstructions described in Section II.","The evaluated material is simulated low-SNR data rather than clinical brain examinations, and equivalence to clinical images is only assumed, not demonstrated.",High,Sixteen volunteer observers without any previous radiological training were recruited to participate in our study.,"The reconstructions were scored by lay observers rather than radiologists, and the compared methods are classical magnitude/wavelet/phase-corrected transforms rather than an accelerated clinical reconstruction pipeline.",High,We measured human and channelized Hotelling observers in a two-alternative forced-choice signal-known-exactly detection task on synthetic MR images.,"The target condition is detection of an artificial circular signal of known location, which does not correspond to the clinical pathology this review is concerned with.",16.0,,not stated,not stated,Known synthetic target (signal-known-exactly),not stated,not stated,not stated,45246,,,,,,,,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,Using human and model performance to compare MRI reconstructions,10.1109/tmi.2006.881374,2006
S020,full text,QUADAS-2,High,"With our institutional review board approval and after obtaining informed written consent, adult patients (18 years of age or older) were prospectively scanned between February 8, 2017, and January 19, 2018, for assessment of the MR imaging brain tumor protocols of our institution with inclusion of a conventional sequence and a corresponding CS-SENSE accelerated acquisition when the clinical schedule permitted.","Enrolment was a pathology-enriched brain tumour cohort recruited only when the clinical schedule permitted, i.e. a convenience sample rather than a consecutive or random one.",Low,All imaging studies were deidentified and randomized so that each rater was unaware of whether they were reviewing a CS-SENSE or conventional acquisition.,"Both neuroradiologists scored the accelerated series independently, deidentified and randomised, without knowing whether the series was the accelerated or the conventional comparator.",High,"Last, raters did not perform a diagnostic or clinical task such as detecting or characterizing lesions or changes in lesions, so further study is needed to confirm that these tasks are not adversely affected by CS-SENSE acceleration.","No reference standard capable of classifying a target condition was applied, because readers rated only image-quality attributes and never established lesion-level truth.",Low,"CS-SENSE accelerated acquisition was performed before or after the corresponding conventional acquisition in alternating order (to mitigate potential bias from ordering effects), with both sequences performed after gadolinium administration for both T2-FLAIR and SPGR.","Accelerated and conventional sequences were acquired within the same session in alternating order so the interval is negligible, and the three patients lacking the paired conventional sequence are explicitly accounted for and excluded.",High,"Individuals with other central nervous system pathologies were not included in our clinical cohort, limiting generalizability to other brain MR imaging applications.","The cohort was restricted to a single indication (brain tumour protocol), which the authors themselves flag as limiting generalisability to brain MRI more broadly.",Low,These CS-SENSE accelerated acquisitions used a balanced variable density incoherent undersampling acquisition scheme and iterative reconstruction to solve an inverse problem with a sparsity constraint.,"The index test is a vendor-integrated accelerated reconstruction run inline on a clinical scanner exactly as it would be deployed in practice, although it is classical compressed sensing rather than a deep-learning reconstruction.",High,"Raters evaluated overall imaging quality on the following 4-point scale: 1, nondiagnostic; 2, limited but interpretable; 3, minimally limited; and 4, optimal quality.","The comparator defines only perceived image quality on Likert scales rather than diagnostic truth, so the target condition does not match the diagnostic-safety question of this review.",2.0,66,not stated,not stated,Conventional acquisition rated by blinded neuroradiologists,prospective,1,yes,42830,,,,,,,,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,Compressed Sensing-Sensitivity Encoding (CS-SENSE) Accelerated Brain Imaging: Reduced Scan Time without Reduced Image Quality,10.3174/ajnr.a5905,2019
S023,full text,Reproducibility & robustness checklist,,,,,,,,,,,,,,,,,,,,,,,"6 (4 for CNN training, 2 for evaluation)",yes,not stated,Motion-free acquisition used as ground truth (uncorrupted raw k-space retrospectively corrupted with simulated motion; image-space RMSE and multicoil data-consistency error versus that ground truth),prospective,not stated,not stated,50622,Example NAMER code can be found at https:// github.com/mwhaskell/namer_mri.,,not stated,NAMER was applied to a single brain volume from a healthy subject who was instructed to move during the scan.,,3T,T2w RARE/TSE/FSE;FLASH (auto-calibration scan),"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,Network Accelerated Motion Estimation and Reduction (NAMER): Convolutional neural network guided retrospective motion correction using a separable motion model,10.1002/mrm.27771,2019
S027,full text,QUADAS-2,High,We obtained informed consent from eight healthy volunteers (3 female; age range 25–50).,"The sample is eight healthy volunteers recruited by convenience with no stated sampling frame and no patients, so the enrolled group cannot represent the population in which the reconstruction would be used.",Low,"Four experienced neuro-radiologists, blinded to the acceleration factor and subsampling pattern, independently assessed image quality and artefacts.","Accelerated datasets were anonymised, randomly coded and graded independently by readers blinded to acceleration factor and sampling pattern, so scoring was not informed by the fully sampled comparator.",High,The neuro-radiologists were not given any specific instructions before the radiological evaluation on what type of clinical question was being investigated.,"No target condition was defined for the readers, and one of the four consequently graded against a different clinical question, so the standard against which the accelerated scans were judged was neither uniform nor able to classify any disease state.",Low,A total of thirty two MRI datasets were collected from the eight healthy volunteers (i.e. one fully sampled and three accelerated MRI datasets for each volunteer) using three k-space sampling order optimized subsampling patterns with different accelerations,"Every volunteer received the same fully sampled comparator plus all three accelerated acquisitions within one session, and all 32 datasets entered the radiological analysis.",High,"It is therefore not possible in our analysis to comment on the suitability of accelerated scans for assessing clinically important brain lesions, for example those due to multiple sclerosis or cerebrovascular disease.","The lesion-free healthy volunteer cohort cannot address whether accelerated reconstruction preserves clinically important pathology, as the authors explicitly concede.",Low,The reconstructions were based on the compressed sensing-parallel imaging based ℓ1-ESPIRiT algorithm [17].,"The index test is a prospectively deployed compressed sensing-parallel imaging reconstruction of clinical-scanner data, matching the accelerated-reconstruction question of this review even though it is not a deep-learning method.",High,The grading was based on a radiological scoring key from the literature that was previously used for evaluating 100 infant human brain examinations for image quality and artefacts [40].,"Truth is a subjective image-quality and artefact scoring key borrowed from an infant imaging study rather than any verified diagnostic outcome, so the target condition does not match the review question.",4.0,8,not stated,not stated,Fully sampled acquisition with blinded neuroradiologist scoring,prospective,1,yes,64472,,,,,,,,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,Diagnostic quality assessment of IR-prepared 3D magnetic resonance neuroimaging accelerated using compressed sensing and k-space sampling order optimization,10.1016/j.mri.2020.08.025,2020
S034,full text,QUADAS-2,Low,"With Western Institutional Review Board approval and patient consent, 40 consecutive subjects (mean age, 69 [SD, 17]years; 21 men, 19 women) undergoing clinically indicated brain MR imaging examinations for subjective memory loss were prospectively recruited during an 8-month period.","Enrolment was consecutive and prospective within a stated recruitment window, with no evidence of inappropriate exclusions.",Low,"The blinded datasets (SOC versus FAST, SOC versus FAST-DL, FAST-DL versus FAST) were randomized in disease classification, image plane, and left-right display order.","Although the pairs were shown side by side, readers were blinded to which series was the deep-learning reconstruction and left-right order was randomised, so they could not identify the comparator when scoring.",High,"In this trial, the SOC images serve as the standard for image preference.","The reference is the standard-of-care images themselves judged by the same readers for preference, and the disease classification 'ground truth' is derived from the same automated volumetric software applied to the datasets being compared, so no independent standard exists.",Low,"The image acquisitions consisted of paired 3D T1-weighted sagittally acquired datasets: 1 SOC image set (mean scan time, 6 minutes, 56 seconds for 3T and 4minutes for 1.5T), and 1 FAST image set (mean scan time, 2 minutes, 44 seconds for 3T and 2 minutes, 40 seconds for 1.5T).","Each subject received both the accelerated and the standard-of-care acquisition in the same examination and all 40 paired datasets were analysed, so the interval is negligible and no participants were lost.",High,"Another area of future research might include a similar methodology applied to different clinical scenarios that demand accurate segmentation but where scan time acceleration would be desirable, such as in patients with multiple sclerosis, intracranial metastases, epilepsy, and traumatic brain injury.","The cohort was confined to an older memory-loss population undergoing volumetric workup, and the authors acknowledge that other lesion-bearing clinical scenarios were not represented.",Low,"FAST-DL was performed off-line using an FDA-cleared, vendoragnostic, DICOM-based, convolutional neural networks–dependent deep learning artificial intelligence image-enhancement software product, SubtleMR (Version 1.2).","The index test is a regulatory-cleared, commercially deployed deep-learning enhancement of 60% accelerated acquisitions used exactly as it would be in clinical practice, albeit operating on DICOM images rather than raw k-space.",High,Follow-up studies could also assess whether the difference between the FAST and FAST-DL datasets was significant enough to impact the correct clinical diagnosis or alter the reader’s ability to detect a lesion.,"The reference defines perceived image preference and automated volumetric concordance rather than diagnostic correctness, and the authors concede that lesion detection was never tested.",2.0,40,not stated,not stated,Standard-of-care acquisition plus NeuroQuant-derived classification,prospective,5,yes,39598,,,,,,,,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,"Deep Learning Enables 60% Accelerated Volumetric Brain MRI While Preserving Quantitative Performance: A Prospective, Multicenter, Multireader Trial",10.3174/ajnr.a7358,2021
S068,full text,Reproducibility & robustness checklist,,,,,,,,,,,,,,,,,,,,,,,"5513 (34,800 MRI volumes)",yes,not stated,"Expert reader / visual inspection ground truth (LORIS-guided visual quality-control labels, clean vs artifact), with a secondary expert visual re-inspection of misclassified cases",retrospective,1029,not stated,129700,The code for creating the network and the associated weights are available at https://github.com/AS-Lab/Pizarro-et-al-2023-DL-detectsMRI-artifacts.,,not stated,These quality control tests were previously applied to the images in the large database we have used.,,not reported,"Seven structural MRI contrasts, not individually specified in this paper (magnetization transfer ON and proton density named in the error analysis; T1w referenced only for the comparator study)","Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,"Deep learning, data ramping, and uncertainty estimation for detecting artifacts in large, imbalanced databases of MRI images",10.1016/j.media.2023.102942,2023
S099,full text,Reproducibility & robustness checklist,,,,,,,,,,,,,,,,,,,,,,,41 (12 healthy volunteers + 29 patients),not stated,not stated,Conventional/standard-of-care acquisition used as reference standard (Wave-CAIPI MPRAGE reference scan; percent error of FreeSurfer cortical volume and thickness computed against it),prospective,1,yes,80164,,,not stated,We prospectively enrolled 29 adult patients undergoing clinical evaluation for dementia who were scheduled for memory loss protocol brain MRI between January and August 2023 (Table 1).,All components of this study were compliant with the Health Insurance Portability and Accountability Act and were approved by the Mass General Brigham institutional review board.,3T,T1w SAMER-MPRAGE;T1w Wave-CAIPI MPRAGE,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,Quantitative evaluation of Scout Accelerated Motion Estimation and Reduction (SAMER) MPRAGE for morphometric analysis of brain tissue in patients undergoing evaluation for memory loss,10.1016/j.neuroimage.2024.120865,2024
S105,full text,Reproducibility & robustness checklist,,,,,,,,,,,,,,,,,,,,,,,3 (plus a spherical phantom),yes,not stated,Conventional acquisition as comparator plus physics simulation and phantom reference (standard Siemens multi-slice 2D spin-echo EPI diffusion sequence; Bloch simulations; spherical phantom with known T1 for SNR),prospective,1,yes,79374,"The MatLab (MathWorks, Natick, MA) script (version 2021b) used for Bloch simulations and the image reconstruction pipelines described in Figures 2 and S2 are available at https://github.com/TardifLab/3D -MERMAID.",,not stated,"To demonstrate the performance of the 3D MERMAID compared to the 2D SE sequence in acquiring high spatial and angular resolution scans, a second participant (female, 27 years old) was scanned.","All human scans received approval from the Research Ethics Board of the Montreal Neurological Institute, and informed consent was obtained from all participants.",3T,DWI 3D MERMAID (multi-shot spin echo with TURBINE readout);DWI 2D spin-echo EPI;T1w compressed-sensing MPRAGE,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,"3D MERMAID: 3D Multi-shot enhanced recovery motion artifact insensitive diffusion for submillimeter, multi-shell, and SNR-efficient diffusion imaging",10.1002/mrm.30436,2025
S113,full text,Reproducibility & robustness checklist,,,,,,,,,,,,,,,,,,,,,,,"452 (450 BraTS20/TCGA participants: 350 training, 100 test; plus 2 glioblastoma patients in the 7T MRSI validation data)",yes,TCGA (via The Cancer Imaging Archive);BraTS20;open-access 7T MRSI data of Hingerl et al.,Stated ground truth (synthetic 128 x 128 high-resolution metabolite maps built from literature metabolite concentrations and FSL FAST tissue segmentation; the 7T MRSI maps of Hingerl et al. served as the real-data ground truth),retrospective,not stated,not stated,42205,The data that support the findings of this study are available from the corresponding author. The code is available at https://github.com/ MorEsm/SR-MRSI.,The BraTS20 challenge dataset included preprocessed MRI data from TCGA and associated tumor mask data of 450 participants.,BraTS20 challenge,"To address this, we proposed an alternative approach that generates metabolite maps using publicly available datasets.",,7T (clinical MRSI validation data); not reported for the TCGA/BraTS20 data,T1w;FLAIR;MRSI (3D-CRT-MRSI);MP2RAGE,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,Artificial intelligence-powered four-fold upscaling of human brain synthetic metabolite maps,10.1177/03000605251330578,2025
S115,full text,QUADAS-2,Low,"During diagnostic routine MRI at our tertiary neuroradiological centre, 100 consecutive patients were enrolled from August to October 2023, excluding only patients below two years of age.","A consecutive series of routine clinical patients was enrolled over a defined period with a single, clearly justified age exclusion.",Low,"While raters were provided with the clinical information connected to the examination, they were blinded to the reconstruction method.","All four raters scored the deep-learning series blinded to the reconstruction method, so index-test ratings were not informed by knowledge of which series was the conventional comparator.",High,"Images were evaluated based on overall image quality (OIQ), diagnostic safety (DS), and image artefacts (IA) using a Likert scale from 1 to 5 (1 = insufficient, 2 = poor, 3 = acceptable, 4 = good, 5 = excellent quality), with detailed definitions provided below.","The comparator is the conventional acquisition scored by the same raters on subjective Likert scales, with no independent verification of lesion-level truth, so the standard cannot correctly classify any target condition.",Low,"Both, Deep Resolve T2(DR) accelerated and conventional T2(CN) images were acquired in the same diagnostic routine MRI examination.","Index and comparator sequences were acquired in the same examination with randomised order, every patient received both, and all 100 patients contributed the full set of ratings.",Low,"The study population consisted of patients referred from various medical specialties, with the majority coming from Neurology (inpatient n = 15; outpatient n = 15), followed by Psychiatry (n = 23), Neurosurgery (n = 15), Oncology (n = 6), and Dermato-Oncology (n = 3).","The cohort is an unselected routine tertiary-centre population spanning many referral specialties and a wide age range, closely matching the clinical setting of the review question.",Low,"Deep Resolve Gain, incorporating noise maps into the reconstruction process [22], was used for denoising and Deep Resolve Sharp, to increase the matrix size along both axes of the coronal plane [23], as provided in the commercial, clinical end-user product [24].","The index test is the commercially released vendor deep-learning reconstruction run in its clinical end-user configuration, which is exactly the technology the review targets.",High,"Images rated as non-diagnostic (scores 1–2) had significant quality issues or artefacts, resulting in insufficient diagnostic confidence and requiring repeat imaging or alternative methods before clinical decisions could safely be made.","Truth is defined as rater-judged diagnostic adequacy of the conventional sequence rather than verified pathology, so the target condition falls short of the diagnostic-accuracy question of the review.",4.0,100,not stated,not stated,Conventional T2 turbo spin echo acquisition rated by blinded neuroradiologists,retrospective,1,yes,50799,,,,,,,,"Claude (Fable 5) - machine re-appraisal, NOT a human reviewer rating",2026-08-21,Machine-generated QUADAS-2 / reproducibility re-appraisal from recovered full text. Requires independent human verification before it is merged into included_characteristics_supplement.csv or reported as reviewer work.,abstract + MeSH only,"Assessment of AI-accelerated T2-weighted brain MRI, based on clinical ratings and image quality evaluation",10.1016/j.ejrad.2025.112123,2025
