row_id,year,title,journal,pmid,doi,reviewer_decision,reason
K001,2026,Deep Learning Reconstruction of Diffusion-weighted MRI Enables Shorter Examination Times While Maintaining Image Quality in Head and Neck Imaging.,Clinical neuroradiology,41498976.0,10.1007/s00062-025-01604-6,exclude,wrong_population
K002,2025,AIBSD: Deep learning approach to address spatial systematic errors in diffusion tensor imaging.,Computer methods and programs in biomedicine,40876083.0,10.1016/j.cmpb.2025.109034,unsure,
K003,2024,Image Reconstruction With B0 Inhomogeneity Using a Deep Unrolled Network,,,10.1109/tim.2024.3481545,include,
K004,2022,Distortion-Free Diffusion Imaging Using Self-Navigated Cartesian Echo-Planar Time Resolved Acquisition and Joint Magnitude and Phase Constrained Reconstruction,IEEE Transactions on Medical Imaging,,10.1109/TMI.2021.3104291,unsure,
K005,2018,Autofocusing-based phase correction,,,10.1002/mrm.27092,unsure,
K006,2024,Clinical Evaluation of a 2-Minute Ultrafast Brain MR Protocol for Evaluation of Acute Pathology in the Emergency and Inpatient Settings,American Journal of Neuroradiology,,10.3174/ajnr.a8143,unsure,
K007,2024,Towards retrospective motion correction and reconstruction for clinical 3D brain MRI protocols with a reference contrast.,"Magma (New York, N.Y.)",38758490.0,10.1007/s10334-024-01161-y,include,
K008,2019,Magnetic resonance cholangiopancreatography using optimized integrated combination with parallel imaging and compressed sensing technique.,Abdominal radiology (New York),30659308.0,10.1007/s00261-018-01886-0,exclude,wrong_population
K009,2025,Practical signal-to-noise ratio mapping using single clinical scan,,,10.1007/s12194-025-00944-9,include,
K010,2015,Sparse Reconstruction Challenge for diffusion MRI: Validation on a physical phantom to determine which acquisition scheme and analysis method to use?,Medical image analysis,26606457.0,10.1016/j.media.2015.10.012,exclude,wrong_population
K011,2022,Deep learning reconstruction for 1.5 T cervical spine MRI,,,10.1007/s00330-022-08729-z,exclude,wrong_population
K012,2025,3D Isotropic High-Resolution Fetal Brain MRI Reconstruction From Motion Corrupted Thick Data,IEEE Journal of Biomedical and Health Informatics,,10.1109/jbhi.2025.3586049,include,
K013,2018,True constructive interference in the steady state (trueCISS).,Magnetic resonance in medicine,28736917.0,10.1002/mrm.26836,include,
