timestamp_utc,pmid,doi,year,title,journal,decision,confidence,stage,include_reason,exclude_reason,flag_reason,background_reason,needs_human_review,reviewer_votes,evidence_spans,source_path,copy_path
2026-08-07T06:24:12.085662+00:00,10908917,10.1212/wnl.55.2.315,2000,The fogging effect.,Neurology,exclude,0.97,fulltext_screening_round2,,"out_of_scope: Case report describing a CT/MRI pseudo-normalization pitfall in subacute stroke imaging, with no AI/ML reconstruction method and no reconstruction-fidelity evaluation contribution.",,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""This phenomenon in which initially hypodense ischemic areas transiently become isodense to normal brain has been termed the “fogging effect.”"", ""The fogging effect has been described with CT imaging and with T1-weighted MRI""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2000 - The fogging effect. - PMID 10908917.pdf,
2026-08-07T06:24:12.085662+00:00,12808157,10.1093/ndt/gfg114,2003,Diagnosis of renal artery stenosis with magnetic resonance angiography: update 2003.,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",exclude,0.97,fulltext_screening_round2,,wrong_population: Editorial review of renal artery 3D gadolinium MRA and flow-measurement techniques for kidney disease; non-brain population with no AI/ML and no brain-MRI-transferable fidelity-evaluation contribution.,,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""Three-dimensional (3D) gadolinium magnetic resonance angiography (MRA) has been established as a safe and reliable technique for detection and grading of renal artery stenosis."", ""Nephrol Dial Transplant (2003) 18: Editorial Comments""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2003 - Diagnosis of renal artery stenosis with magnetic resonance angiography update 2003. - PMID 12808157.pdf,
2026-08-07T06:24:12.085662+00:00,12607529,10.1007/s00330-002-1693-7,2003,MR venography.,European radiology,exclude,0.97,fulltext_screening_round2,,"review_editorial_protocol_commentary: Editorial on time-of-flight and contrast-enhanced MR venography for hemodialysis access planning in the upper limb; non-brain, no AI/ML, no reconstruction-fidelity methodology.",,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""E D I T O R I A L"", ""illustrates the application of a non-invasive MR venography technique as an accurate tool for the preoperative planning of hemodialysis access fistula""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2003 - MR venography. - PMID 12607529.pdf,
2026-08-07T06:24:12.085662+00:00,15750828,10.1007/s00259-005-1778-z,2005,Heterogeneity of cerebral blood flow in dementia.,European journal of nuclear medicine and molecular imaging,exclude,0.95,fulltext_screening_round2,,out_of_scope: Correspondence critiquing a fractal-dimension analysis method applied to SPECT (not MRI) perfusion images; wrong imaging modality and no AI/ML reconstruction-fidelity contribution.,,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""They delineated the SPECT images using a 35% and a 50% cut-off of the maximal voxel radioactivity"", ""Dear Sir,""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2005 - Heterogeneity of cerebral blood flow in dementia. - PMID 15750828.pdf,
2026-08-07T06:24:12.085662+00:00,23555711,10.1371/journal.pone.0059573,2013,Automated transmission-mode scanning electron microscopy (tSEM) for large volume analysis at nanoscale resolution.,PloS one,exclude,0.98,fulltext_screening_round2,,out_of_scope: Describes a nanoscale electron microscopy imaging platform for rat brain synaptic ultrastructure; not MRI and not an AI/ML reconstruction-fidelity evaluation method.,,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""Transmission-mode scanning electron microscopy (tSEM) on a field emission SEM platform was developed for efficient and cost-effective imaging of circuit-scale volumes from brain at nanoscale resolution."", ""Hippocampal dentate gyrus tissue was obtained from adult rats""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2013 - Automated transmission-mode scanning electron microscopy (tSEM) for large volume analysis at nanoscale resolution. - PMID 23555711.pdf,
2026-08-07T06:24:12.085662+00:00,25320803,10.1007/978-3-319-10443-0_29,2014,Image quality transfer via random forest regression: applications in diffusion MRI.,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,exclude,0.7,fulltext_screening_round2+Thu_adjudication,,"wrong_intervention_or_index: Resolves the intervention_unclear flag toward exclude: the paper's contribution is the image-quality-transfer reconstruction method itself, and fidelity is assessed only via routine RMSE against HCP ground truth in healthy subjects, with no stress-testing of hallucination, omission, or distortion failure modes. Robustness in the presence of pathology is explicitly deferred to future work, so the paper lacks a safety/fidelity-evaluation contribution beyond routine method validation.",,,FALSE,"{""Dat Mai_fulltext_round2"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""Experiments quantify the improvement against alternative image reconstructions in comparison to ground truth"", ""Further work must establish sufficiency of reliability to make downstream improvements in practical applications"", ""However, further work needs to evaluate performance in such situations.""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2014 - Image quality transfer via random forest regression applications in diffusion MRI. - PMID 25320803.pdf,
2026-08-07T06:24:12.085662+00:00,24677391,10.1002/jmri.24622,2015,Image quality versus outcomes.,Journal of magnetic resonance imaging : JMRI,exclude,0.96,fulltext_screening_round2,,review_editorial_protocol_commentary: Opinion editorial arguing that clinical outcomes matter more than image quality across general MRI applications; no AI/ML reconstruction and no fidelity-evaluation methodology.,,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""Editorial"", ""in this editorial I have the daunting task of convincing the discerning reader otherwise, that outcomes are more relevant than image quality""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2015 - Image quality versus outcomes. - PMID 24677391.pdf,
2026-08-07T06:24:12.085662+00:00,26511101,10.1002/mrm.25854,2016,High spatial resolution compressed sensing (HSPARSE) functional MRI.,Magnetic resonance in medicine,exclude,0.85,fulltext_screening_round2,,wrong_intervention_or_index: Proposes a classical (non-AI/ML) compressed-sensing kt-SPARSE reconstruction for high-resolution fMRI validated with sensitivity/false-positive-rate metrics against Nyquist data; no learned/deep-learning reconstruction and no dedicated fidelity/safety evaluation methodology contribution.,,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""A modified k-t SPARSE method was then implemented and applied with a strategy to optimize regularization parameters for consistent, high quality CS reconstruction."", ""achieves high sensitivity of 69 to 99% compared the original ground-truth, small false positive rate of less than 0.05""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2016 - High spatial resolution compressed sensing (HSPARSE) functional MRI. - PMID 26511101.pdf,
2026-08-07T06:24:12.085662+00:00,26375762,10.1002/mrm.25891,2016,MR-based conductivity imaging using multiple receiver coils.,Magnetic resonance in medicine,exclude,0.95,fulltext_screening_round2,,wrong_intervention_or_index: Proposes a classical phase-based electrical property tomography (EPT) signal-combination method for tissue conductivity mapping; not an AI/ML reconstruction method and not a fidelity/safety evaluation contribution.,,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""To propose a signal combination method for MR-based tissue conductivity mapping using a standard clinical scanner with multiple receiver coils."", ""MR-based electric property imaging is an emerging technique that uses B1 maps to derive information regarding tissue electrical properties""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2016 - MR-based conductivity imaging using multiple receiver coils. - PMID 26375762.pdf,
2026-08-07T06:24:12.085662+00:00,25920076,10.1002/mrm.25705,2016,Motion robust GRAPPA for echo-planar imaging.,Magnetic resonance in medicine,exclude,0.93,fulltext_screening_round2,,wrong_intervention_or_index: Proposes a classical (non-AI/ML) GRAPPA calibration-scan method to reduce motion/B0-related ghosting artifacts in EPI; no AI/ML reconstruction and no dedicated fidelity-evaluation methodology.,,,FALSE,"{""Dat Mai_fulltext_round2"": ""exclude""}","[""A readout-segmented method for acquiring robust GRAPPA calibration data for echo-planar imaging (EPI) was proposed"", ""having 30% lower ghosting intensity than the single shot method and 90% lower ghosting intensity than the interleaved approach""]",C:/Users/V133280/RMIT University/Thai Pham - StrokeVault/Brain MRI Reconstruction Safety Review - Broad\Full Text Screening\PDF-Missing\2016 - Motion robust GRAPPA for echo-planar imaging. - PMID 25920076.pdf,
