doi,column,label,matched_pattern,verbatim_snippet,source
10.1117/12.845507,method_family,Compressed sensing / parallel imaging,compressed sensing,Comprehensive quantitative image quality evaluation of compressed sensing MRI reconstructions using a weighted perceptual difference,title+abstract
10.1117/12.845507,evaluation,Observer / reader study,\bobservers?\b,"over a wide range of image degradations and assume that the observer has no bias towards any of them. Here, we create metrics we",title+abstract
10.1117/12.845507,evaluation,Perceptual / learned metrics,perceptual (?:metric|loss|quality|difference),of compressed sensing MRI reconstructions using a weighted perceptual difference model <!-- source: verbatim from paper full text --> The pe,title+abstract
10.1117/12.845507,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"hem. Here, we create metrics weighted to different types of artifacts, calibrated to a human observer’s preference, and then agg",title+abstract
10.1002/jmri.25149,method_family,Compressed sensing / parallel imaging,compressed sensing,Diagnostic quality assessment of compressed sensing accelerated magnetic resonance neuroimaging <!-- source: Cr,title+abstract
10.1002/jmri.25149,evaluation,Observer / reader study,radiologists?,"cho (SPGR) sequences. In a series of blinded studies, three radiologists independently evaluated CS, PI (GRAPPA), and low‐resolution",title+abstract
10.1002/jmri.25149,pulse_sequences,FLAIR,\bFLAIR\b,"s on a 3T scanner using a 32channel head coil using T2-FLAIR, FIESTA-C, time of flight (TOF), and spoiled gradient",full text
10.1002/jmri.25149,reference_standard,Fully sampled reference,,terworth apodization to eliminate ringing artifacts. Fully sampled k-space measurements were reconstructed using Roemer’s optimal,full text
10.1016/j.mri.2016.11.020,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,Artificial neural network for suppression of banding artifacts in balanced steady-state free precession MRI <!-- source:,title+abstract
10.1016/j.mri.2016.11.020,failure_modes,Geometric / anatomical distortion,off[- ]resonance,"sequence is frequently used in clinics, but is sensitive to off-resonance effects, which can cause banding artifacts. Often multiple",title+abstract
10.1016/j.mri.2016.11.020,reference_standard,Fully sampled reference,,tasets with two or four PC angles were used as inputs. Ground truth images without banding artifact were used as targets in the,full text
10.1016/j.mri.2017.07.016,evaluation,Perceptual / learned metrics,\bBRISQUE\b,Modified-BRISQUE as no reference image quality assessment for structural MR,title+abstract
10.1016/j.mri.2017.07.016,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,evaluated the image quality of three-dimensional (3D) T1-weighted structural MRI by measuring the air background of an i,full text
10.1016/j.mri.2017.07.016,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"astroenterology), spine and knee images. They are T1W, T2W or PD images from 1.5 T or 3.0 T scanners. These image",full text
10.1016/j.mri.2017.07.016,public_dataset,ADNI,\bADNI\b,"ings from Alzheimer's Disease Neuroimaging Initiative (ADNI) at high sensitivity and specificity (N85%). However,",full text
10.1002/jmri.25970,method_family,Generative (GAN/diffusion/VAE),\bsynthesi[sz],full‐dose images from the precontrast and low‐dose images. Synthesized full‐dose images were created using the trained model in,title+abstract
10.1002/jmri.25970,evaluation,Pixel-wise metrics (PSNR/SSIM/NRMSE),\bPSNR\b,compared quantitatively using peak‐signal‐to‐noise‐ratios (PSNR) and structural‐similarity‐index (SSIM). For the test set c,title+abstract
10.1002/jmri.25970,evaluation,Observer / reader study,radiologists?,"t comprised of 20 patients with mixed indications, two neuroradiologists scored blindly and independently for the three postcontrast",title+abstract
10.1002/jmri.25970,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"e postcontrast image sets, evaluating image quality, motion‐artifact suppression, and contrast enhancement compared with precont",title+abstract
10.1002/jmri.25970,failure_modes,Motion degradation,\bmotion\b,"he three postcontrast image sets, evaluating image quality, motion‐artifact suppression, and contrast enhancement compared wit",title+abstract
10.1002/jmri.25970,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,indicated contrast-enhanced brain MRI. Sequence: 3D T1-weighted inversion-recovery prepped fast-spoiled-gradient-echo,full text
10.1002/jmri.25970,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,", Zhao T, et al. Automated image quality evaluation of T2-weighted liver MRI utilizing deep learning architecture. J Magn",full text
10.1007/s00330-019-06319-0,method_family,Compressed sensing / parallel imaging,compressed sensing,Compressed sensing MRI of different organs ready for clinical daily practice <,title+abstract
10.1007/s00330-019-06319-0,evaluation,Observer / reader study,\breaders?\b,"t applications in 107 patients, leading to 120 comparisons. Readers were blinded to the technique for quantitative (contrast-to",title+abstract
10.1007/s00330-019-06319-0,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"he aim was to evaluate the image quality and sensitivity to artifacts of compressed sensing (CS) acceleration technique, applied",title+abstract
10.1007/s00330-019-06319-0,failure_modes,Motion degradation,motion[- ](?:artifact|corrupt|degrad|induced),proton density (PD) weighted CS sequence which showed less motion artifacts due to the reduced acquisition time. The contrast-to-noise,title+abstract
10.1007/s00330-019-06319-0,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"fluid-attenuated inversion recovery (FLAIR) and 3D FFE T1-weighted post contrast (gadoterate meglumine, Dotarem, Guerbet)",full text
10.1007/s00330-019-06319-0,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"va, Switzerland Eur Radiol (2020) 30:308–319 309 TSE Turbo spin echo VISTA Volumetric isotropic T2w acquisi",full text
10.1007/s00330-019-06319-0,pulse_sequences,FLAIR,\bFLAIR\b,"ho| |material, which is available to authorized users.|FLAIR|Fluid-attenuated inversion recovery| ||FOV|Field of vi",full text
10.1007/s00330-019-06319-0,reference_standard,Conventional reconstruction comparator,,"tifacts, CS did not exhibit different or new artifacts compared with conventional sequences, which is an important information. A recent study de",full text
10.1002/mrm.27894,evaluation,Pixel-wise metrics (PSNR/SSIM/NRMSE),structural similarity,"the root‐mean‐square error, peak signal‐to‐noise ratio, and structural similarity index, compared with current state‐of‐the‐art methods. Conc",title+abstract
10.1002/mrm.27894,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,MRI Gibbs-ringing artifact reduction by means of machine learning using convolutional,title+abstract
10.1002/mrm.27894,failure_modes,Hallucination / fidelity / instability,fidelity,ta were replaced with measured counterparts to enforce data fidelity further. We trained the convolutional neural network using,title+abstract
10.1002/mrm.27894,pulse_sequences,T2w,\bT2[- ]?w(?:eighted)?\b|\bT2[- ]SPACE\b|\bTSE\b|\bFSE\b,"convolutional neural network using 17,532 T2‐weighted (T2W) normal brain images and evaluated its performance on",full text
10.1002/mrm.27894,pulse_sequences,DWI,\bDWI\b|diffusion[- ]weighted|\bDTI\b|\bdMRI\b|\bHARDI\b,46|0.992| ||GRA‐CNN‐m|0.006|45.26|0.991| |Normal brain DWI|Original|0.012|38.69|0.983| ||GRA‐CNN|0.009|41.23|0.98,full text
10.1002/mrm.27894,public_dataset,HCP,\bHCP\b|Human Connectome,"ncil (RGC C7048‐16G). Data was provided in part by the Human Connectome Project, WU‐Minn Consortium (Principal Investigators:",full text
10.1002/mrm.27894,reference_standard,Fully sampled reference,,dimensional Gibbs‐ringing artifact. The image from the fully sampled data was used as reference. The artifact image was synthesi,full text
10.1109/lsp.2019.2961072,failure_modes,Artifacts (aliasing/ghosting/Gibbs),artifact,"jacent blocks, and the image domain to suppress compression artifacts at the image pixel level. For comparison, we adapted the A",title+abstract
10.1109/lsp.2019.2961072,pulse_sequences,T1w,\bT1[- ]?w(?:eighted)?\b|\bMP-?RAGE\b|\bMP2RAGE\b|T1[- ]SPACE,"-vendor, multi-field strength MR images comprising 359 T1-weighted volumetric MR scans of healthy adult brains, were used",full text
