timestamp_utc,pmid,doi,year,title,journal,decision,stage,include_reason,exclude_reason,flag_reason,background_reason,needs_human_review,reviewer_votes,evidence_spans,source_path,copy_path,confidence_score,confidence,reviewer_votes_normalized,automated_vote_count,automated_votes_summary
2026-07-27T12:23:32.158013+00:00,9419562,10.1016/s1076-6332(05)80184-9,1995,Detection of degradation of magnetic resonance (MR) images: comparison of an automated MR image-quality analysis system with trained human observers.,Academic radiology,include,fulltext_Thu_adjudication+reverified_clean_data,"automated_vs_human_evaluation_baseline: Head-to-head comparison of an automated MR image-quality analysis system against trained human observers for detecting intentionally introduced image degradation (SNR loss, geometric distortion, slice ...",,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""include""}","[""compared the sensitivity of a test object and automated image analysis system for MR imaging QC with the sensitivity of trained human observers"", ""The human observers were able to detect a 6-13% reduction in the SNR and distortions of mor ...",1995 - Detection of degradation of magnetic resonance (MR) images comparison of an automated MR image-quality analysis system w - PMID 9419562.md,,0.55,low,"{""Thu_adjudicator"": ""include""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,,10.1109/42.387716,1995,Using an image database to constrain the acquisition and reconstruction of MR images of the human head,IEEE Transactions on Medical Imaging,include,fulltext_Thu_adjudication,fidelity_failure_mode_evaluation: Learning/training-set-constrained (data-driven prior) reconstruction of undersampled brain MRI that explicitly stress-tests the safety-critical failure mode of a learned prior by inserting simulated lesions ...,,,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""include""}","[""a simulated 'lesion' unlike any lesion in the training set"", ""the FR method did not lead to accurate images when the 'lesion' was outside the head"", ""signal intensity from the extracranial lesion was 'aliased' into the head, producing a p ...",1995 - Using an image database to constrain the acquisition and reconstruction of MR images of the human head - IEEEXPLORE 387716.md,,0.7,medium,"{""Thu_adjudicator"": ""include""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,11517069,10.2214/ajr.177.3.1770671,2001,Articular cartilage and the magic angle effect.,AJR. American journal of roentgenology,background_only,fulltext_screening,,,,"review_for_background: Commentary (publication type Comment) on musculoskeletal MRI, off-topic and non-original.",FALSE,"{""Dat Mai_fulltext"": ""background_only""}","[""Commentary"", ""Articular Cartilage and the Magic Angle Effect""]",2001 - Articular cartilage and the magic angle effect. - PMID 11517069.md,,0.9,high,{},1,"{""background_only"": 1}"
2026-07-27T12:23:32.158013+00:00,12812965,,2003,Diffusion-weighted imaging of the spine: is it reliable?,AJNR. American journal of neuroradiology,exclude,fulltext_screening,,out_of_scope: Editorial-style piece on spinal DWI reliability; not brain MRI reconstruction and no methodological reconstruction-safety evaluation.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""Diffusion-weighted imaging of the spine: is it reliable?""]",2003 - Diffusion-weighted imaging of the spine is it reliable - PMID 12812965.md,,0.75,medium,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,13679300,,2003,Flow voids and carotid MR angiography.,AJNR. American journal of neuroradiology,background_only,fulltext_screening,,,,review_for_background: Comment/Letter on carotid MR angiography; non-original and off-topic.,FALSE,"{""Dat Mai_fulltext"": ""background_only""}","[""Comment"", ""Letter""]",2003 - Flow voids and carotid MR angiography. - PMID 13679300.md,,0.85,high,{},1,"{""background_only"": 1}"
2026-07-27T12:23:32.158013+00:00,12814987,10.1161/01.CIR.0000068034.93450.FE,2003,Images in cardiovascular medicine. Visualization of anomalous coronary artery in the presence of arrhythmia using radial balanced fast field echo coronary magnetic resonance angiography.,Circulation,exclude,fulltext_screening,,"wrong_study_design: Case report of coronary MR angiography; cardiac, not brain MRI reconstruction, and an excluded study design.",,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""Images in cardiovascular medicine"", ""Case Reports""]",2003 - Images in cardiovascular medicine. Visualization of anomalous coronary artery in the presence of arrhythmia using radial - PMID 12814987.md,,0.9,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,,10.1109/ISSPIT.2005.1577201,2005,Quality evaluation of fast morphing interpolation model for 3D volume reconstruction,"Proceedings of the Fifth IEEE International Symposium on Signal Processing and Information Technology, 2005.",include,fulltext_screening,"Quality/accuracy evaluation of a 3D volume reconstruction model on brain MRI, comparing against linear interpolation via error metrics (reconstruction fidelity assessment).",,,,FALSE,"{""Dat Mai_fulltext"": ""include""}","[""Quality evaluation of a 3D volume reconstruction model"", ""Error analysis using average Mean Square and Absolute error""]",2005 - Quality evaluation of fast morphing interpolation model for 3D volume reconstruction - IEEEXPLORE 1577201.md,,0.55,low,{},1,"{""include"": 1}"
2026-07-27T12:23:32.158013+00:00,17117780,10.1109/TMI.2006.881374,2006,Using human and model performance to compare MRI reconstructions.,IEEE transactions on medical imaging,include,fulltext_screening,"Directly proposes human and model observers as an evaluation methodology for MRI reconstructions, comparing three reconstructions and arguing observer studies are needed to validate reconstructions.",,,,FALSE,"{""Dat Mai_fulltext"": ""include""}","[""human and model observers as a novel approach to evaluating reconstructions"", ""human observer studies are important for validating MRI reconstructions""]",2006 - Using human and model performance to compare MRI reconstructions. - PMID 17117780.md,,0.9,high,{},1,"{""include"": 1}"
2026-07-27T12:23:32.158013+00:00,17765574,10.1016/j.neuroimage.2007.06.040,2007,Isoflurane anesthesia effect in functional imaging studies.,NeuroImage,exclude,fulltext_screening,,wrong_population: Animal (cat) functional imaging study of anesthesia effects; no reconstruction-safety evaluation and animal-only.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""Animals"", ""Cats"", ""Models, Animal""]",2007 - Isoflurane anesthesia effect in functional imaging studies. - PMID 17765574.md,,0.9,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,,10.1109/ICIP.2007.4379268,2007,Parallel Magnetic Resonance Imaging using Neural Networks,2007 IEEE International Conference on Image Processing,exclude,fulltext_Thu_adjudication,,"wrong_outcome: Neural-network parallel-imaging reconstruction method development validated on phantom and brain data against standard parallel imaging techniques, with no safety, fidelity or failure-mode evaluation focus and no evaluation-m ...",,,FALSE,"{""Dat Mai_fulltext"": ""flagged"", ""Thu_adjudicator"": ""exclude""}","[""results have been compared with the standard existing parallel imaging techniques"", ""The proposed approach is found to perform better than the standard existing techniques""]",2007 - Parallel Magnetic Resonance Imaging using Neural Networks - IEEEXPLORE 4379268.md,,0.7,medium,"{""Thu_adjudicator"": ""exclude""}",1,"{""flagged"": 1}"
2026-07-27T12:23:32.158013+00:00,22311115,10.1007/s00062-012-0131-8,2012,Quantitative magnetic resonance angiography.,Clinical neuroradiology,exclude,fulltext_screening+reverified_clean_data,,"out_of_scope: Overview of quantitative MR angiography methods for cerebral vessels (no abstract); angiography quantification, not AI/ML reconstruction-safety evaluation. [re-verified on clean data: no abstract, no full text — thin evidence, ...",,,TRUE,"{""Dat Mai_fulltext"": ""exclude""}","[""Quantitative magnetic resonance angiography""]",2012 - Quantitative magnetic resonance angiography. - PMID 22311115.md,,0.6,low,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,23218792,10.1016/j.mri.2012.09.009,2013,A new perceptual difference model for diagnostically relevant quantitative image quality evaluation: a preliminary study.,Magnetic resonance imaging,include,fulltext_screening,"Develops a perceptual difference model to evaluate reconstruction artifacts (noise, blur, aliasing, oil-painting) on brain MRI, validated against human observers and used to compare CS vs GRAPPA reconstruction.",,,,FALSE,"{""Dat Mai_fulltext"": ""include""}","[""evaluating CS and GRAPPA reconstruction algorithms"", ""Four types of artifacts (noise, blur, aliasing or \""oil painting\"")""]",2013 - A new perceptual difference model for diagnostically relevant quantitative image quality evaluation a preliminary study. - PMID 23218792.md,,0.9,high,{},1,"{""include"": 1}"
2026-07-27T12:23:32.158013+00:00,24110610,10.1109/EMBC.2013.6610423,2013,Anisotropic smoothing regularization (AnSR) in Thirion's Demons registration evaluates brain MRI tissue changes post-laser ablation.,IEEE EMBC Annual International Conference,exclude,fulltext_screening,,"wrong_intervention_or_index: Deformable image registration regularization method for brain MRI, not image reconstruction or its safety/fidelity evaluation.",,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""Thirion's Demons algorithm"", ""regularize the deformation field""]",2013 - Anisotropic smoothing regularization (AnSR) in Thirion's Demons registration evaluates brain MRI tissue changes post-las - PMID 24110610.md,,0.7,medium,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,23857073,10.1055/s-0033-1350117,2013,Application of a novel metal artifact correction algorithm in flat-panel CT after coil embolization of brain aneurysms: intraindividual comparison.,RoFo,exclude,fulltext_screening,,wrong_intervention_or_index: Metal artifact correction in flat-panel CT (not MRI); off-topic modality.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""flat-panel CT"", ""beam hardening artifacts caused by metal implants in computed tomography""]",2013 - Application of a novel metal artifact correction algorithm in flat-panel CT after coil embolization of brain aneurysms i - PMID 23857073.md,,0.85,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,23595762,10.1523/JNEUROSCI.3081-12.2013,2013,Application of high-frequency repetitive transcranial magnetic stimulation to the DLPFC alters human prefrontal-hippocampal functional interaction.,The Journal of neuroscience,exclude,fulltext_screening,,out_of_scope: Cognitive neuroscience rTMS/fMRI connectivity study; no MRI reconstruction or its safety/fidelity evaluation.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""prefrontal-hippocampal seeded connectivity"", ""functional connectivity analyses""]",2013 - Application of high-frequency repetitive transcranial magnetic stimulation to the DLPFC alters human prefrontal-hippocam - PMID 23595762.md,,0.9,high,{},1,"{""exclude"": 1}"
2026-07-27T12:23:32.158013+00:00,24450256,10.2298/vsp1312117n,2013,Assessing the quality of angiographic display of brain blood vessels aneurysms compared to intraoperative state.,Vojnosanitetski pregled,exclude,fulltext_screening,,out_of_scope: Clinical comparison of angiographic modalities (CTA/MSCTA/DSA/MRA) for aneurysm visualization quality vs intraoperative gold standard; not AI/ML MRI reconstruction-safety evaluation.,,,FALSE,"{""Dat Mai_fulltext"": ""exclude""}","[""evaluate the reliability of spatial reconstruction of blood vessels of the brain"", ""compared to intraoperative identification""]",2013 - Assessing the quality of angiographic display of brain blood vessels aneurysms compared to intraoperative state. - PMID 24450256.md,,0.75,medium,{},1,"{""exclude"": 1}"
